Siruta,Localitate,Venituri,Cheltuieli
1017,Municipiul Alba Iulia,8775,35291
1071,Ciugud,12425,276399
1151,Oras Abrud,141887,29090
1213,Municipiul Aiud,9823,38761
1348,Municipiul Blaj,13567,8216
1455,Oras Campeni,143282,31783
1696,Oras Cugir,11218,41454
1794,Oras Ocna Mures,14962,10909
1874,Municipiul Sebes,144677,34476
1936,Oras Zlatna,12613,44147
2130,Albac,16357,13602
2309,Almasu Mare,146072,37169
2381,Arieseni,14008,46840
2577,Avram Iancu,17752,16295
2915,Oras Baia De Aries,147467,39862
2988,Berghin,15403,49533
3039,Bistra,19147,18988
3397,Blandiana,148862,42555
3459,Bucium,16798,52226
3761,Cenade,20542,21681
3805,Cergau,150257,45248
3841,Ceru-Bacainti,18193,54919
3958,Cetatea De Balta,21937,24374
4008,Ciuruleasa,151652,47941
4106,Calnic,19588,57612
4142,Cricau,23332,27067
4188,Craciunelu De Jos,153047,50634
4240,Daia Romana,20983,60305
4268,Dostat,24727,29760
4302,Farau,154442,53327
4366,Galda De Jos,22378,62998
4482,Garbova,26122,32453
4525,Garda De Sus,155837,56020
4703,Hoparta,23773,65691
4767,Horea,27517,35146
4927,Ighiu,157232,58713
4981,Intregalde,25168,68384
5103,Jidvei,28912,37839
5167,Livezile,158627,61406
5210,Lopadea Noua,26563,71077
5309,Lunca Muresului,30307,40532
5336,Lupsa,160022,64099
5577,Metes,27958,73770
5700,Mihalt,31702,43225
5755,Miraslau,161417,66792
5826,Mogos,29353,76463
6048,Noslac,33097,45918
6119,Ocolis,162812,69485
6164,Ohaba,30748,79156
6217,Pianu,34492,48611
6271,Poiana Vadului,164207,72178
6397,Ponor,32143,81849
6468,Posaga,35887,51304
6547,Radesti,165602,74871
6592,Rametea,33538,84542
6627,Ramet,37282,53997
6761,Rosia Montana,166997,77564
6930,Rosia De Secas,34933,87235
6976,Salciua,38677,56690
7044,Salistea,168392,80257
7099,Sasciori,36328,89928
7197,Scarisoara,40072,59383
7348,Sancel,169787,82950
7384,Santimbru,37723,92621
7446,Sohodol,41467,62076
7767,Stremt,171182,85643
7810,Sibot,39118,95314
7865,Sona,42862,64769
7945,Spring,172577,88336
8014,Sugag,40513,98007
8096,Oras Teius,44257,67462
8158,Unirea,173972,91029
8229,Vadu Motilor,41908,100700
8354,Valea Lunga,45652,70155
8425,Vidra,175367,93722
8826,Vintu De Jos,43303,103393
9019,Cut,47047,72848
9026,Bucerdea Granoasa,176762,96415
9262,Municipiul Arad,44698,106086
9280,Fantanele,48442,75541
9333,Livada,178157,99108
9360,Sofronea,46093,108779
9397,Vladimirescu,49837,78234
9459,Oras Chisineu-Cris,179552,101801
9495,Oras Curtici,47488,111472
9538,Oras Ineu,51232,80927
9574,Oras Lipova,180947,104494
9627,Oras Nadlac,48883,114165
9654,Oras Pancota,52627,83620
9690,Oras Sebis,182342,107187
9743,Almas,50278,116858
9798,Apateu,54022,86313
9832,Archis,183737,109880
9887,Bata,51673,119551
9930,Beliu,55417,89006
10006,Birchis,185132,112573
10051,Barsa,53068,122244
10104,Barzava,56812,91699
10195,Bocsig,186527,115266
10239,Brazii,54463,124937
10293,Buteni,58207,94392
10346,Carand,187922,117959
10373,Cermei,55858,127630
10417,Chisindia,59602,97085
10453,Conop,189317,120652
10514,Covasint,57253,130323
10532,Craiva,60997,99778
10649,Dezna,190712,123345
10701,Dieci,58648,133016
10765,Ususau,62392,102471
10827,Felnac,192107,126038
10872,Ghioroc,60043,135709
10916,Graniceri,63787,105164
10943,Gurahont,193502,128731
11058,Halmagiu,61438,138402
11174,Halmagel,65182,107857
11236,Hasmas,194897,131424
11307,Ignesti,62833,141095
11352,Iratosu,66577,110550
11398,Macea,196292,134117
11423,Misca,64228,143788
11478,Moneasa,67972,113243
11502,Olari,197687,136810
11539,Paulis,65623,146481
11584,Oras Pecica,69367,115936
11637,Peregu Mare,199082,139503
11664,Petris,67018,149174
11735,Pilu,70762,118629
11762,Plescuta,200477,142196
11842,Savarsin,68413,151867
11940,Secusigiu,72157,121322
11995,Seleus,201872,144889
12037,Semlac,69808,154560
12055,Sintea Mare,73552,124015
12091,Oras Santana,203267,147582
12126,Socodor,71203,157253
12144,Sagu,74947,126708
12206,Seitin,204662,150275
12224,Sepreus,72598,159946
12242,Sicula,76342,129401
12288,Silindia,206057,152968
12340,Simand,73993,162639
12368,Siria,77737,132094
12402,Sistarovat,207452,155661
12457,Taut,75388,165332
12509,Tarnova,79132,134787
12572,Varadia De Mures,208847,158354
12643,Vinga,76783,168025
12689,Varfurile,80527,137480
12778,Zabrani,210242,161047
12812,Zarand,78178,170718
12849,Zerind,81922,140173
12876,Zimandu Nou,211637,163740
12912,Dorobanti,79573,173411
12920,Frumuseni,83317,142866
12938,Zadareni,213032,166433
13169,Municipiul Pitesti,80968,176104
13187,Bascov,84712,145559
13276,Bradu,214427,169126
13301,Oras Mioveni,82363,178797
13365,Maracineni,86107,148252
13392,Oras Stefanesti,215822,171819
13490,Municipiul Campulung,83758,181490
13524,Valea Mare Pravat,87502,150945
13622,Municipiul Curtea De Arges,217217,174512
13668,Oras Costesti,85153,184183
13757,Oras Topoloveni,88897,153638
13819,Albestii De Arges,218612,177205
13891,Albestii De Muscel,86548,186876
13935,Albota,90292,156331
13999,Aninoasa,220007,179898
14049,Arefu,87943,189569
14085,Babana,91687,159024
14165,Baiculesti,221402,182591
14272,Balilesti,89338,192262
14352,Beleti-Negresti,93082,161717
14405,Berevoesti,222797,185284
14450,Barla,90733,194955
14584,Bogati,94477,164410
14673,Boteni,224192,187977
14726,Botesti,92128,197648
14753,Bradulet,95872,167103
14851,Budeasa,225587,190670
14922,Bughea De Jos,93523,200341
14940,Buzoesti,97267,169796
15064,Caldararu,226982,193363
15108,Calinesti,94918,203034
15233,Cateasca,98662,172489
15313,Cepari,228377,196056
15402,Cetateni,96313,205727
15448,Cicanesti,100057,175182
15493,Ciofrangeni,229772,198749
15554,Ciomagesti,97708,208420
15652,Cocu,101452,177875
15741,Corbeni,231167,201442
15830,Corbi,99103,211113
15901,Cosesti,102847,180568
15983,Cotmeana,232562,204135
16132,Cuca,100498,213806
16285,Davidesti,104242,183261
16329,Dambovicioara,233957,206828
16365,Darmanesti,101893,216499
16427,Dobresti,105637,185954
16454,Domnesti,235352,209521
16472,Dragoslavele,103288,219192
16506,Draganu,107032,188647
16551,Godeni,236747,212214
16613,Harsesti,104683,221885
16659,Hartiesti,108427,191340
16739,Izvoru,238142,214907
16757,Leordeni,106078,224578
16908,Leresti,109822,194033
16944,Lunca Corbului,239537,217600
17049,Malureni,107473,227271
17101,Merisani,111217,196726
17209,Micesti,240932,220293
17254,Mihaesti,108868,229964
17334,Mioarele,112612,199419
17398,Mirosi,242327,222986
17423,Moraresti,110263,232657
17496,Mosoaia,114007,202112
17575,Mozaceni,243722,225679
17619,Musatesti,111658,235350
17726,Negrasi,115402,204805
17771,Nucsoara,245117,228372
17824,Oarja,113053,238043
17851,Pietrosani,116797,207498
17913,Poienarii De Arges,246512,231065
17968,Poienarii De Muscel,114448,240736
18028,Poiana Lacului,118192,210191
18162,Popesti,247907,233758
18242,Priboieni,115843,243429
18331,Ratesti,119587,212884
18411,Recea,249302,236451
18475,Rociu,117238,246122
18527,Rucar,120982,215577
18554,Salatrucu,250697,239144
18581,Sapata,118633,248815
18670,Schitu Golesti,122377,218270
18741,Slobozia,252092,241837
18778,Stalpeni,120028,251508
18858,Stoenesti,123772,220963
18938,Stolnici,253487,244530
19007,Suseni,121423,254201
19114,Stefan Cel Mare,125167,223656
19141,Suici,254882,247223
19212,Teiu,122818,256894
19249,Tigveni,126562,226349
19338,Titesti,256277,249916
19392,Uda,124213,259587
19560,Ungheni,127957,229042
19631,Valea Danului,257672,252609
19695,Valea Iasului,125608,262280
19793,Vedea,129352,231735
19999,Vladesti,259067,255302
20048,Raca,127003,264973
20055,Vulturesti,130747,234428
20063,Bughea De Sus,260462,257995
20297,Municipiul Bacau,128398,267666
20313,Hemeius,132142,237121
20359,Letea Veche,261857,260688
20411,Magura,129793,270359
20466,Margineni,133537,239814
20563,Municipiul Onesti,263252,263381
20607,Gura Vaii,131188,273052
20670,Stefan Cel Mare,134932,242507
20778,Oras Buhusi,264647,266074
20821,Oras Comanesti,132583,275745
20876,Municipiul Moinesti,136327,245200
20910,Oras Slanic-Moldova,266042,268767
20965,Oras Targu Ocna,133978,278438
21007,Agas,137722,247893
21098,Ardeoani,267437,271460
21123,Asau,135373,281131
21196,Balcani,139117,250586
21249,Beresti-Bistrita,268832,274153
21338,Beresti-Tazlau,136768,283824
21418,Berzunti,140512,253279
21454,Barsanesti,270227,276846
21506,Blagesti,138163,286517
21560,Bogdanesti,141907,255972
21597,Brusturoasa,271622,279539
21668,Buhoci,139558,289210
21720,Casin,143302,258665
21757,Caiuti,273017,282232
21855,Cleja,140953,291903
21891,Colonesti,144697,261358
21971,Corbasca,274412,284925
22059,Cotofanesti,142348,294596
22111,Damienesti,146092,264051
22166,Oras Darmanesti,275807,287618
22237,Dealu Morii,143743,297289
22380,Dofteana,147487,266744
22460,Faraoani,277202,290311
22488,Filipeni,145138,299982
22576,Filipesti,148882,269437
22665,Gaiceana,278597,293004
22718,Ghimes-Faget,146533,302675
22781,Garleni,150277,272130
22834,Glavanesti,279992,295697
22898,Helegiu,147928,305368
22941,Horgesti,151672,274823
23047,Huruiesti,281387,298390
23127,Izvoru Berheciului,149323,308061
23207,Lipova,153067,277516
23289,Livezi,282782,301083
23350,Luizi-Calugara,150718,310754
23387,Magiresti,154462,280209
23449,Manastirea Casin,284177,303776
23494,Motoseni,152113,313447
23644,Negri,155857,282902
23715,Nicolae Balcescu,285572,306469
23797,Oituz,153508,316140
23868,Oncesti,157252,285595
23948,Orbeni,286967,309162
23975,Palanca,154903,318833
24034,Parava,158647,288288
24089,Parincea,288362,311855
24187,Pancesti,156298,321526
24276,Pargaresti,160042,290981
24338,Parjol,289757,314548
24427,Plopana,157693,324219
24524,Podu Turcului,161437,293674
24631,Poduri,291152,317241
24711,Racova,159088,326912
24766,Racaciuni,162832,296367
24837,Rachitoasa,292547,319934
24999,Rosiori,160483,329605
25068,Sascut,164227,299060
25148,Sanduleni,293942,322627
25228,Saucesti,161878,332298
25291,Scorteni,165622,301753
25362,Secuieni,295337,325320
25488,Solont,163273,334991
25521,Stanisesti,167017,304446
25629,Strugari,296732,328013
25692,Tamasi,164668,337684
25745,Tatarasti,168412,307139
25825,Targu Trotus,298127,330706
25861,Traian,166063,340377
25932,Ungureni,169807,309832
26029,Urechesti,299522,333399
26083,Valea Seaca,167458,343070
26118,Vultureni,171202,312525
26289,Zemes,300917,336092
26320,Sarata,168853,345763
26338,Buciumi,172597,315218
26346,Gioseni,302312,338785
26353,Odobesti,170248,348456
26361,Prajesti,173992,317911
26379,Itesti,303707,341478
26564,Municipiul Oradea,171643,351149
26582,Sanmartin,175387,320604
26653,Santandrei,305102,344171
26699,Oras Alesd,173038,353842
26742,Astileu,176782,323297
26804,Municipiul Beius,306497,346864
26840,Oras Stei,174433,356535
26877,Municipiul Marghita,178177,325990
26920,Oras Nucet,307892,349557
26975,Municipiul Salonta,175828,359228
27007,Oras Vascau,179572,328683
27070,Abram,309287,352250
27169,Abramut,177223,361921
27212,Auseu,180967,331376
27285,Avram Iancu,310682,354943
27329,Balc,178618,364614
27383,Batar,182362,334069
27436,Biharia,312077,357636
27506,Boianu Mare,180013,367307
27560,Borod,183757,336762
27631,Bors,313472,360329
27686,Bratca,181408,370000
27757,Brusturi,185152,339455
27846,Budureasa,314867,363022
27908,Buduslau,182803,372693
27935,Bulz,186547,342148
27971,Buntesti,316262,365715
28077,Cabesti,184198,375386
28139,Capalna,187942,344841
28193,Carpinet,317657,368408
28246,Cefa,185593,378079
28335,Ceica,189337,347534
28415,Cetariu,319052,371101
28497,Cherechiu,186988,380772
28530,Chislaz,190732,350227
28610,Ciuhoi,320447,373794
28665,Ciumeghiu,188383,383465
28709,Campani,192127,352920
28763,Cociuba Mare,321842,376487
28816,Copacel,189778,386158
28889,Cristioru De Jos,193522,355613
28941,Curatele,323237,379180
29001,Curtuiseni,191173,388851
29038,Derna,194917,358306
29092,Diosig,324632,381873
29154,Dobresti,192568,391544
29243,Draganesti,196312,360999
29341,Dragesti,326027,384566
29403,Finis,193963,394237
29467,Girisu De Cris,197707,363692
29519,Hidiselu De Sus,327422,387259
29573,Holod,195358,396930
29662,Husasau De Tinca,199102,366385
29724,Ineu,328817,389952
29760,Lazuri De Beius,196753,399623
