,Code,City_x,Romanian,Hungarians,Romany,Ukrainians,Germans,Turks,Russians_Lippovans,Tatars,Serbs,Slovaks,Bulgarians,Croats,Greeks,Italians,Jews,Czechs,Poles,Chinese,Armenians,Csango,Macedonians,Another,City_y,County,IndicativJudet,NumeJudet,Regiune,MacroRegiune
0,1017,Municipiul Alba Iulia,55671,1010,1119,4,115,13,9,0,0,0,5,3,6,38,19,0,5,4,0,7,0,13,Municipiul Alba Iulia,ab,ab,Alba,Centru,1
1,1071,Ciugud,2941,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ciugud,ab,ab,Alba,Centru,1
2,1151,Oras Abrud,4703,29,22,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oras Abrud,ab,ab,Alba,Centru,1
3,1213,Municipiul Aiud,16955,3364,930,0,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,Municipiul Aiud,ab,ab,Alba,Centru,1
4,1348,Municipiul Blaj,16146,1304,1706,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Municipiul Blaj,ab,ab,Alba,Centru,1
5,1455,Oras Campeni,6635,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oras Campeni,ab,ab,Alba,Centru,1
6,1696,Oras Cugir,18985,187,672,3,40,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,Oras Cugir,ab,ab,Alba,Centru,1
7,1794,Oras Ocna Mures,10187,1141,860,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oras Ocna Mures,ab,ab,Alba,Centru,1
8,1874,Municipiul Sebes,22429,112,1106,0,255,0,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,0,Municipiul Sebes,ab,ab,Alba,Centru,1
9,1936,Oras Zlatna,6710,30,344,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oras Zlatna,ab,ab,Alba,Centru,1
10,2130,Albac,1986,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Albac,ab,ab,Alba,Centru,1
11,2309,Almasu Mare,1258,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Almasu Mare,ab,ab,Alba,Centru,1
12,2381,Arieseni,1726,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arieseni,ab,ab,Alba,Centru,1
13,2577,Avram Iancu,1413,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Avram Iancu,ab,ab,Alba,Centru,1
14,2915,Oras Baia De Aries,3354,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oras Baia De Aries,ab,ab,Alba,Centru,1
15,2988,Berghin,1699,13,81,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Berghin,ab,ab,Alba,Centru,1
16,3039,Bistra,4357,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bistra,ab,ab,Alba,Centru,1
17,3397,Blandiana,863,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blandiana,ab,ab,Alba,Centru,1
18,3459,Bucium,1409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bucium,ab,ab,Alba,Centru,1
19,3761,Cenade,784,4,104,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cenade,ab,ab,Alba,Centru,1
20,3805,Cergau,1252,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cergau,ab,ab,Alba,Centru,1
21,3841,Ceru-Bacainti,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ceru-Bacainti,ab,ab,Alba,Centru,1
22,3958,Cetatea De Balta,1347,491,912,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cetatea De Balta,ab,ab,Alba,Centru,1
23,4008,Ciuruleasa,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ciuruleasa,ab,ab,Alba,Centru,1
24,4106,Calnic,1184,4,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Calnic,ab,ab,Alba,Centru,1
25,4142,Cricau,1807,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cricau,ab,ab,Alba,Centru,1
26,4188,Craciunelu De Jos,1823,58,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Craciunelu De Jos,ab,ab,Alba,Centru,1
27,4240,Daia Romana,2691,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Daia Romana,ab,ab,Alba,Centru,1
28,4268,Dostat,901,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dostat,ab,ab,Alba,Centru,1
29,4302,Farau,1093,348,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Farau,ab,ab,Alba,Centru,1
30,4366,Galda De Jos,4023,298,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Galda De Jos,ab,ab,Alba,Centru,1
